'2010-06-26 01:04:39.04';-112;-82;-84;Joggen
'2010-06-26 01:04:39.08';-98;-82;-91;Joggen
'2010-06-26 01:04:39.12';-107;-63;-90;Joggen
'2010-06-26 01:04:39.16';-65;-29;-85;Joggen
'2010-06-26 01:04:39.2';-22;4;-54;Joggen
'2010-06-26 01:04:39.24';-64;14;-44;Joggen
'2010-06-26 01:04:39.28';-112;46;-69;Joggen
'2010-06-26 01:04:39.32';-128;2;23;Joggen
'2010-06-26 01:04:39.36';-128;54;95;Joggen
'2010-06-26 01:04:39.4';-127;127;123;Joggen
'2010-06-26 01:04:39.44';-90;127;122;Joggen
'2010-06-26 01:04:39.48';-97;51;-1;Joggen
'2010-06-26 01:04:39.52';-2;30;48;Joggen
'2010-06-26 01:04:39.56';-99;68;-15;Joggen
'2010-06-26 01:04:39.6';-128;28;17;Joggen
'2010-06-26 01:04:39.64';-128;-2;18;Joggen
'2010-06-26 01:04:39.68';-126;-74;-79;Joggen
'2010-06-26 01:04:39.72';-69;-21;-66;Joggen
'2010-06-26 01:04:39.76';-128;-116;-127;Joggen
'2010-06-26 01:04:39.8';-124;-77;-94;Joggen
'2010-06-26 01:04:39.84';-111;-80;-87;Joggen
'2010-06-26 01:04:39.88';-93;-57;-97;Joggen
'2010-06-26 01:04:39.92';-26;-31;-63;Joggen
'2010-06-26 01:04:39.96';-22;-1;-39;Joggen
'2010-06-26 01:04:40.0';-86;-9;-64;Joggen
'2010-06-26 01:04:40.04';-117;-4;-50;Joggen
'2010-06-26 01:04:40.08';-128;12;45;Joggen
'2010-06-26 01:04:40.12';-128;119;123;Joggen
'2010-06-26 01:04:40.16';-115;127;123;Joggen
'2010-06-26 01:04:40.2';-103;90;10;Joggen
'2010-06-26 01:04:40.24';-73;53;49;Joggen
'2010-06-26 01:04:40.28';-94;52;-30;Joggen
'2010-06-26 01:04:40.32';-107;73;27;Joggen
'2010-06-26 01:04:40.36';-122;25;14;Joggen
'2010-06-26 01:04:40.4';-128;-51;-43;Joggen
'2010-06-26 01:04:40.44';-123;-61;-91;Joggen
'2010-06-26 01:04:40.48';-128;-128;-98;Joggen
'2010-06-26 01:04:40.52';-128;-60;-110;Joggen
'2010-06-26 01:04:40.56';-109;-73;-105;Joggen
'2010-06-26 01:04:40.6';-106;-65;-96;Joggen
'2010-06-26 01:04:40.64';-53;-34;-78;Joggen
'2010-06-26 01:04:40.68';2;0;-40;Joggen
'2010-06-26 01:04:40.72';-58;-6;-42;Joggen
'2010-06-26 01:04:40.76';-121;-15;-28;Joggen
'2010-06-26 01:04:40.8';-128;15;60;Joggen
'2010-06-26 01:04:40.84';-128;85;113;Joggen
'2010-06-26 01:04:40.88';-125;127;123;Joggen
'2010-06-26 01:04:40.92';-82;116;89;Joggen
'2010-06-26 01:04:40.96';-119;59;51;Joggen
'2010-06-26 01:04:41.0';-49;37;26;Joggen
'2010-06-26 01:04:41.04';-79;-1;2;Joggen
'2010-06-26 01:04:41.08';-115;26;25;Joggen
'2010-06-26 01:04:41.12';-128;-30;-7;Joggen
'2010-06-26 01:04:41.16';-128;-85;-73;Joggen
'2010-06-26 01:04:41.2';-63;-8;84;Joggen
'2010-06-26 01:04:41.24';-128;-81;-95;Joggen
'2010-06-26 01:04:41.28';-93;-67;-94;Joggen
'2010-06-26 01:04:41.32';-109;-69;-91;Joggen
'2010-06-26 01:04:41.36';-60;-39;-100;Joggen
'2010-06-26 01:04:41.4';-1;-20;-29;Joggen
'2010-06-26 01:04:41.44';-50;2;-45;Joggen
'2010-06-26 01:04:41.48';-112;12;-72;Joggen
'2010-06-26 01:04:41.52';-128;-5;27;Joggen
'2010-06-26 01:04:41.56';-128;127;123;Joggen
'2010-06-26 01:04:41.6';-128;127;123;Joggen
'2010-06-26 01:04:41.64';-100;125;106;Joggen
'2010-06-26 01:04:41.68';-103;71;49;Joggen
'2010-06-26 01:04:41.72';0;60;69;Joggen
'2010-06-26 01:04:41.76';-86;40;8;Joggen
'2010-06-26 01:04:41.8';-106;26;19;Joggen
