@relation test

@attribute timestamp DATE "yyyy-MM-dd' 'HH:mm:ss.SS" 
@attribute x numeric
@attribute y numeric
@attribute z numeric

@data
'2010-06-26 01:04:44.2',-90,-74,-96
'2010-06-26 01:04:44.24',-98,-76,-99
'2010-06-26 01:04:44.28',-82,-39,-109
'2010-06-26 01:04:44.32',-6,-46,-16
'2010-06-26 01:04:44.36',-46,1,-36
'2010-06-26 01:04:44.4',-82,-1,-50
'2010-06-26 01:04:44.44',-128,-6,20
'2010-06-26 01:04:44.48',-128,127,123
'2010-06-26 01:04:44.52',-128,127,123
'2010-06-26 01:04:44.56',-102,127,123
'2010-06-26 01:04:44.6',-107,64,24
'2010-06-26 01:04:44.64',-26,127,-53
'2010-06-26 01:04:44.68',-105,76,40
'2010-06-26 01:04:44.72',-128,25,29
'2010-06-26 01:04:44.76',-128,1,11
'2010-06-26 01:04:44.8',-128,-86,-79
'2010-06-26 01:04:44.84',-32,9,-33
'2010-06-26 01:04:44.88',-128,-91,-100
'2010-06-26 01:04:44.92',-116,-64,-110
'2010-06-26 01:04:44.96',-97,-72,-106
'2010-06-26 01:04:45.0',-82,-51,-89
'2010-06-26 01:04:45.04',5,-30,-21
'2010-06-26 01:04:45.08',-22,11,-44
'2010-06-26 01:04:45.12',-80,-14,-65
'2010-06-26 01:04:45.16',-128,-7,-38
'2010-06-26 01:04:45.2',-128,17,41
'2010-06-26 01:04:45.24',-128,122,123
'2010-06-26 01:04:45.28',-111,127,123
'2010-06-26 01:04:45.32',-109,70,53
'2010-06-26 01:04:45.36',-5,65,38
'2010-06-26 01:04:45.4',-93,-4,-9
'2010-06-26 01:04:45.44',-122,10,20
'2010-06-26 01:04:45.48',-128,-9,20
'2010-06-26 01:04:45.52',-128,-60,-53
'2010-06-26 01:04:45.56',-99,-53,-66
'2010-06-26 01:04:45.6',-128,-120,-114
'2010-06-26 01:04:45.64',-122,-54,-106
'2010-06-26 01:04:45.68',-112,-79,-104
'2010-06-26 01:04:45.72',-12,-17,-33
'2010-06-26 01:04:45.76',-50,-2,-30
'2010-06-26 01:04:45.8',-106,-5,-58
'2010-06-26 01:04:45.84',-128,-1,-20
'2010-06-26 01:04:45.88',-128,75,123
'2010-06-26 01:04:45.92',-128,112,122
'2010-06-26 01:04:45.96',-118,127,123
'2010-06-26 01:04:46.0',-99,116,73
'2010-06-26 01:04:46.04',-85,18,31
'2010-06-26 01:04:46.08',-107,34,69
'2010-06-26 01:04:46.12',-100,36,35
'2010-06-26 01:04:46.16',-121,22,27
'2010-06-26 01:04:46.2',-128,-30,-19
'2010-06-26 01:04:46.24',-128,-73,-68
'2010-06-26 01:04:46.28',-128,-90,-81
'2010-06-26 01:04:46.32',-128,-66,-108
'2010-06-26 01:04:46.36',-116,-83,-118
'2010-06-26 01:04:46.4',-111,-69,-101
'2010-06-26 01:04:46.44',-57,-27,-81
'2010-06-26 01:04:46.48',-14,10,-44
'2010-06-26 01:04:46.52',-72,-2,-51
'2010-06-26 01:04:46.56',-123,-14,-23
'2010-06-26 01:04:46.6',-128,27,101
'2010-06-26 01:04:46.64',-128,95,121
'2010-06-26 01:04:46.68',-120,127,123
'2010-06-26 01:04:46.72',-96,116,104
'2010-06-26 01:04:46.76',-89,65,7
'2010-06-26 01:04:46.8',-5,74,40
'2010-06-26 01:04:46.84',-91,8,14
'2010-06-26 01:04:46.88',-118,21,23
'2010-06-26 01:04:46.92',-128,-21,-13
'2010-06-26 01:04:46.96',-128,-80,-69
'2010-06-26 01:04:47.0',-33,21,-29
'2010-06-26 01:04:47.04',-128,-98,-101
'2010-06-26 01:04:47.08',-85,-73,-105
'2010-06-26 01:04:47.12',-100,-69,-102
'2010-06-26 01:04:47.16',-70,-40,-96
'2010-06-26 01:04:47.2',-13,-12,-35
'2010-06-26 01:04:47.24',-60,4,-41
'2010-06-26 01:04:47.28',-115,-2,-47
'2010-06-26 01:04:47.32',-128,-22,48
'2010-06-26 01:04:47.36',-128,56,105
'2010-06-26 01:04:47.4',-128,127,123
'2010-06-26 01:04:47.44',-93,127,123
'2010-06-26 01:04:47.48',-94,70,-17
'2010-06-26 01:04:47.52',58,27,-36
'2010-06-26 01:04:47.56',-92,20,-8
'2010-06-26 01:04:47.6',-128,39,41
'2010-06-26 01:04:47.64',-128,-9,11
'2010-06-26 01:04:47.68',-128,-56,-53
'2010-06-26 01:04:47.72',-57,-27,-56
'2010-06-26 01:04:47.76',-128,-111,-109
'2010-06-26 01:04:47.8',-91,-71,-119
'2010-06-26 01:04:47.84',-92,-79,-94
'2010-06-26 01:04:47.88',-102,-44,-93
'2010-06-26 01:04:47.92',-8,-12,-24
'2010-06-26 01:04:47.96',-46,18,-42
'2010-06-26 01:04:48.0',-103,6,-69
'2010-06-26 01:04:48.04',-128,-28,7
'2010-06-26 01:04:48.08',-128,88,123
'2010-06-26 01:04:48.12',-128,122,123
'2010-06-26 01:04:48.16',-103,127,123
'2010-06-26 01:04:48.2',-76,88,8
'2010-06-26 01:04:48.24',94,127,-3
'2010-06-26 01:04:48.28',-68,-36,-13
'2010-06-26 01:04:48.32',-128,32,26
'2010-06-26 01:04:48.36',-128,-34,-6
'2010-06-26 01:04:48.4',-128,-53,-43
'2010-06-26 01:04:48.44',-100,-39,-67
'2010-06-26 01:04:48.48',-128,-99,-102
'2010-06-26 01:04:48.52',-128,-88,-126
'2010-06-26 01:04:48.56',-101,-90,-118
'2010-06-26 01:04:48.6',-90,-52,-103
'2010-06-26 01:04:48.64',-51,-21,-60
'2010-06-26 01:04:48.68',-27,12,-39
'2010-06-26 01:04:48.72',-85,3,-63
'2010-06-26 01:04:48.76',-128,5,-30
'2010-06-26 01:04:48.8',-128,64,123
'2010-06-26 01:04:48.84',-128,115,123
'2010-06-26 01:04:48.88',-113,127,123
'2010-06-26 01:04:48.92',-98,109,67
'2010-06-26 01:04:48.96',-99,-4,37
'2010-06-26 01:04:49.0',-100,40,77
'2010-06-26 01:04:49.04',-116,56,30
'2010-06-26 01:04:49.08',-120,22,24
'2010-06-26 01:04:49.12',-128,-35,-26
'2010-06-26 01:04:49.16',-128,-61,-84
'2010-06-26 01:04:49.2',-128,-122,-91
'2010-06-26 01:04:49.24',-128,-55,-88
'2010-06-26 01:04:49.28',-127,-91,-106
'2010-06-26 01:04:49.32',-108,-66,-94
'2010-06-26 01:04:49.36',-50,-36,-83
'2010-06-26 01:04:49.4',2,-6,-50
'2010-06-26 01:04:49.44',-55,-2,-42
'2010-06-26 01:04:49.48',-111,14,-45
'2010-06-26 01:04:49.52',-128,4,42
'2010-06-26 01:04:49.56',-128,71,108
'2010-06-26 01:04:49.6',-127,127,123
'2010-06-26 01:04:49.64',-87,121,99
'2010-06-26 01:04:49.68',-106,68,36
'2010-06-26 01:04:49.72',-46,38,60
'2010-06-26 01:04:49.76',-72,35,14
'2010-06-26 01:04:49.8',-97,27,12
'2010-06-26 01:04:49.84',-128,-13,10
'2010-06-26 01:04:49.88',-128,-71,-72
'2010-06-26 01:04:49.92',-69,-23,-59
'2010-06-26 01:04:49.96',-128,-103,-125
'2010-06-26 01:04:50.0',-110,-56,-99
'2010-06-26 01:04:50.04',-117,-57,-98
'2010-06-26 01:04:50.08',-71,-45,-90
'2010-06-26 01:04:50.12',-16,-26,-44
'2010-06-26 01:04:50.16',-30,0,-36
'2010-06-26 01:04:50.2',-87,-6,-62
'2010-06-26 01:04:50.24',-128,-9,13
'2010-06-26 01:04:50.28',-128,35,69
'2010-06-26 01:04:50.32',-128,127,123
'2010-06-26 01:04:50.36',-104,127,123
'2010-06-26 01:04:50.4',-54,58,52
'2010-06-26 01:04:50.44',-56,-128,37
'2010-06-26 01:04:50.48',-30,5,77
'2010-06-26 01:04:50.52',-106,46,12
'2010-06-26 01:04:50.56',-128,-10,5
'2010-06-26 01:04:50.6',-128,-38,-27
'2010-06-26 01:04:50.64',-128,-78,-71
